feature_idx,feature_name,b_min,b_max,mean,std,n_valid,range_width
31,DII_Sp_wid,0.000000,0.000000,0.000000,0.000000,85,0.000000
32,DII_N_defl,20.000000,48.000000,31.482353,7.777580,85,28.000000
33,DII_Rag_R,0.000000,1.000000,0.023529,0.152477,85,1.000000
34,DII_Diph_R,0.000000,1.000000,0.023529,0.152477,85,1.000000
35,DII_Rag_P,0.000000,0.000000,0.000000,0.000000,85,0.000000
36,DII_Diph_P,0.000000,0.000000,0.000000,0.000000,85,0.000000
37,DII_Rag_T,0.000000,1.000000,0.011765,0.108465,85,1.000000
38,DII_Diph_T,0.000000,0.000000,0.000000,0.000000,85,0.000000
39,DIII_Q_wid,0.000000,88.000000,17.129412,21.607862,85,88.000000
40,DIII_R_wid,0.000000,96.000000,39.905882,24.455802,85,96.000000
41,DIII_S_wid,0.000000,76.000000,21.694118,26.785756,85,76.000000
42,DIII_Rp_wid,0.000000,52.000000,2.305882,8.032706,85,52.000000
43,DIII_Sp_wid,0.000000,44.000000,0.800000,5.408987,85,44.000000
44,DIII_N_defl,0.000000,76.000000,29.552941,18.803182,85,76.000000
45,DIII_Rag_R,0.000000,1.000000,0.011765,0.108465,85,1.000000
46,DIII_Diph_R,0.000000,1.000000,0.035294,0.185617,85,1.000000
47,DIII_Rag_P,0.000000,1.000000,0.011765,0.108465,85,1.000000
48,DIII_Diph_P,0.000000,1.000000,0.047059,0.213021,85,1.000000
49,DIII_Rag_T,0.000000,0.000000,0.000000,0.000000,85,0.000000
50,DIII_Diph_T,0.000000,0.000000,0.000000,0.000000,85,0.000000
51,AVR_Q_wid,0.000000,92.000000,42.117647,25.166783,85,92.000000
52,AVR_R_wid,0.000000,52.000000,18.870588,15.075831,85,52.000000
53,AVR_S_wid,0.000000,80.000000,9.976471,20.129330,85,80.000000
54,AVR_Rp_wid,0.000000,36.000000,3.388235,9.391098,85,36.000000
55,AVR_Sp_wid,0.000000,32.000000,0.376471,3.470887,85,32.000000
56,AVR_N_defl,0.000000,72.000000,32.752941,26.765252,85,72.000000
57,AVR_Rag_R,0.000000,1.000000,0.023529,0.152477,85,1.000000
58,AVR_Diph_R,0.000000,0.000000,0.000000,0.000000,85,0.000000
59,AVR_Rag_P,0.000000,1.000000,0.011765,0.108465,85,1.000000
60,AVR_Diph_P,0.000000,0.000000,0.000000,0.000000,85,0.000000
61,AVR_Rag_T,0.000000,0.000000,0.000000,0.000000,85,0.000000
62,AVR_Diph_T,0.000000,0.000000,0.000000,0.000000,85,0.000000
63,AVL_Q_wid,0.000000,84.000000,10.070588,16.660324,85,84.000000
64,AVL_R_wid,0.000000,92.000000,44.282353,21.793736,85,92.000000
65,AVL_S_wid,0.000000,64.000000,17.552941,21.274569,85,64.000000
66,AVL_Rp_wid,0.000000,36.000000,0.423529,3.904748,85,36.000000
67,AVL_Sp_wid,0.000000,0.000000,0.000000,0.000000,85,0.000000
68,AVL_N_defl,0.000000,60.000000,25.835294,13.932531,85,60.000000
69,AVL_Rag_R,0.000000,0.000000,0.000000,0.000000,85,0.000000
70,AVL_Diph_R,0.000000,1.000000,0.023529,0.152477,85,1.000000
71,AVL_Rag_P,0.000000,1.000000,0.011765,0.108465,85,1.000000
72,AVL_Diph_P,0.000000,0.000000,0.000000,0.000000,85,0.000000
73,AVL_Rag_T,0.000000,1.000000,0.011765,0.108465,85,1.000000
74,AVL_Diph_T,0.000000,0.000000,0.000000,0.000000,85,0.000000
75,AVF_Q_wid,0.000000,84.000000,7.058824,14.549057,85,84.000000
76,AVF_R_wid,0.000000,96.000000,50.494118,19.808382,85,96.000000
77,AVF_S_wid,0.000000,60.000000,16.564706,19.626541,85,60.000000
78,AVF_Rp_wid,0.000000,20.000000,0.658824,3.483133,85,20.000000
79,AVF_Sp_wid,0.000000,0.000000,0.000000,0.000000,85,0.000000
80,AVF_N_defl,0.000000,52.000000,29.035294,11.483370,85,52.000000
81,AVF_Rag_R,0.000000,0.000000,0.000000,0.000000,85,0.000000
82,AVF_Diph_R,0.000000,1.000000,0.011765,0.108465,85,1.000000
83,AVF_Rag_P,0.000000,0.000000,0.000000,0.000000,85,0.000000
84,AVF_Diph_P,0.000000,1.000000,0.011765,0.108465,85,1.000000
85,AVF_Rag_T,0.000000,0.000000,0.000000,0.000000,85,0.000000
86,AVF_Diph_T,0.000000,0.000000,0.000000,0.000000,85,0.000000
87,V1_Q_wid,0.000000,76.000000,6.258824,18.551828,85,76.000000
88,V1_R_wid,0.000000,48.000000,25.929412,11.017074,85,48.000000
89,V1_S_wid,0.000000,76.000000,50.823529,19.729828,85,76.000000
90,V1_Rp_wid,0.000000,32.000000,1.035294,4.943604,85,32.000000
91,V1_Sp_wid,0.000000,12.000000,0.141176,1.301583,85,12.000000
92,V1_N_defl,0.000000,32.000000,15.764706,7.517673,85,32.000000
93,V1_Rag_R,0.000000,0.000000,0.000000,0.000000,85,0.000000
94,V1_Diph_R,0.000000,0.000000,0.000000,0.000000,85,0.000000
95,V1_Rag_P,0.000000,0.000000,0.000000,0.000000,85,0.000000
96,V1_Diph_P,0.000000,0.000000,0.000000,0.000000,85,0.000000
97,V1_Rag_T,0.000000,1.000000,0.023529,0.152477,85,1.000000
98,V1_Diph_T,0.000000,1.000000,0.011765,0.108465,85,1.000000
99,V2_Q_wid,0.000000,64.000000,2.023529,10.719338,85,64.000000
100,V2_R_wid,0.000000,60.000000,35.717647,10.597183,85,60.000000
101,V2_S_wid,0.000000,64.000000,46.682353,13.329355,85,64.000000
102,V2_Rp_wid,0.000000,24.000000,0.705882,3.763305,85,24.000000
103,V2_Sp_wid,0.000000,0.000000,0.000000,0.000000,85,0.000000
104,V2_N_defl,0.000000,48.000000,22.635294,8.060555,85,48.000000
105,V2_Rag_R,0.000000,1.000000,0.011765,0.108465,85,1.000000
106,V2_Diph_R,0.000000,0.000000,0.000000,0.000000,85,0.000000
107,V2_Rag_P,0.000000,0.000000,0.000000,0.000000,85,0.000000
108,V2_Diph_P,0.000000,0.000000,0.000000,0.000000,85,0.000000
109,V2_Rag_T,0.000000,0.000000,0.000000,0.000000,85,0.000000
110,V2_Diph_T,0.000000,1.000000,0.023529,0.152477,85,1.000000
111,V3_Q_wid,0.000000,20.000000,0.658824,3.483133,85,20.000000
112,V3_R_wid,20.000000,68.000000,43.294118,8.169082,85,48.000000
113,V3_S_wid,20.000000,76.000000,43.764706,9.428487,85,56.000000
114,V3_Rp_wid,0.000000,20.000000,0.235294,2.169305,85,20.000000
115,V3_Sp_wid,0.000000,0.000000,0.000000,0.000000,85,0.000000
116,V3_N_defl,12.000000,52.000000,28.941176,7.214986,85,40.000000
117,V3_Rag_R,0.000000,1.000000,0.011765,0.108465,85,1.000000
118,V3_Diph_R,0.000000,0.000000,0.000000,0.000000,85,0.000000
119,V3_Rag_P,0.000000,0.000000,0.000000,0.000000,85,0.000000
120,V3_Diph_P,0.000000,0.000000,0.000000,0.000000,85,0.000000
121,V3_Rag_T,0.000000,0.000000,0.000000,0.000000,85,0.000000
122,V3_Diph_T,0.000000,0.000000,0.000000,0.000000,85,0.000000
123,V4_Q_wid,0.000000,24.000000,2.870588,7.214054,85,24.000000
124,V4_R_wid,32.000000,84.000000,46.917647,8.174018,85,52.000000
125,V4_S_wid,0.000000,68.000000,41.929412,13.712862,85,68.000000
126,V4_Rp_wid,0.000000,20.000000,0.235294,2.169305,85,20.000000
127,V4_Sp_wid,0.000000,0.000000,0.000000,0.000000,85,0.000000
128,V4_N_defl,24.000000,48.000000,32.941176,5.843908,85,24.000000
129,V4_Rag_R,0.000000,0.000000,0.000000,0.000000,85,0.000000
130,V4_Diph_R,0.000000,1.000000,0.023529,0.152477,85,1.000000
131,V4_Rag_P,0.000000,0.000000,0.000000,0.000000,85,0.000000
132,V4_Diph_P,0.000000,0.000000,0.000000,0.000000,85,0.000000
133,V4_Rag_T,0.000000,0.000000,0.000000,0.000000,85,0.000000
134,V4_Diph_T,0.000000,0.000000,0.000000,0.000000,85,0.000000
135,V5_Q_wid,0.000000,28.000000,5.035294,8.990004,85,28.000000
136,V5_R_wid,32.000000,84.000000,46.305882,8.266432,85,52.000000
137,V5_S_wid,0.000000,68.000000,40.470588,14.414434,85,68.000000
138,V5_Rp_wid,0.000000,20.000000,0.235294,2.169305,85,20.000000
139,V5_Sp_wid,0.000000,0.000000,0.000000,0.000000,85,0.000000
140,V5_N_defl,20.000000,48.000000,32.188235,6.673498,85,28.000000
141,V5_Rag_R,0.000000,0.000000,0.000000,0.000000,85,0.000000
142,V5_Diph_R,0.000000,0.000000,0.000000,0.000000,85,0.000000
143,V5_Rag_P,0.000000,0.000000,0.000000,0.000000,85,0.000000
144,V5_Diph_P,0.000000,0.000000,0.000000,0.000000,85,0.000000
145,V5_Rag_T,0.000000,0.000000,0.000000,0.000000,85,0.000000
146,V5_Diph_T,0.000000,0.000000,0.000000,0.000000,85,0.000000
147,V6_Q_wid,0.000000,28.000000,7.388235,10.094900,85,28.000000
148,V6_R_wid,28.000000,88.000000,50.541176,12.480034,85,60.000000
149,V6_S_wid,0.000000,68.000000,27.905882,21.183790,85,68.000000
150,V6_Rp_wid,0.000000,20.000000,0.235294,2.169305,85,20.000000
151,V6_Sp_wid,0.000000,0.000000,0.000000,0.000000,85,0.000000
152,V6_N_defl,20.000000,48.000000,32.141176,8.010637,85,28.000000
153,V6_Rag_R,0.000000,0.000000,0.000000,0.000000,85,0.000000
154,V6_Diph_R,0.000000,0.000000,0.000000,0.000000,85,0.000000
155,V6_Rag_P,0.000000,0.000000,0.000000,0.000000,85,0.000000
156,V6_Diph_P,0.000000,0.000000,0.000000,0.000000,85,0.000000
157,V6_Rag_T,0.000000,0.000000,0.000000,0.000000,85,0.000000
158,V6_Diph_T,0.000000,0.000000,0.000000,0.000000,85,0.000000
159,DI_JJ_amp,-1.300000,1.000000,-0.085882,0.363892,85,2.300000
160,DI_Q_amp,-1.500000,0.000000,-0.203529,0.372075,85,1.500000
161,DI_R_amp,1.300000,14.600000,6.108235,2.649897,85,13.300000
162,DI_S_amp,-6.300000,0.000000,-0.887059,1.097377,85,6.300000
163,DI_Rp_amp,0.000000,0.000000,0.000000,0.000000,85,0.000000
164,DI_Sp_amp,0.000000,0.000000,0.000000,0.000000,85,0.000000
165,DI_P_amp,-0.500000,1.400000,0.692941,0.321377,85,1.900000
166,DI_T_amp,-1.300000,3.400000,1.298824,0.958234,85,4.700000
167,DI_QRSA,-12.800000,50.800000,14.365882,10.791515,85,63.600000
168,DI_QRSTA,-0.100000,65.700000,24.638824,12.956834,85,65.800000
169,DII_JJ_amp,-0.900000,1.200000,0.063529,0.334111,85,2.100000
170,DII_Q_amp,-2.400000,0.000000,-0.223529,0.450832,85,2.400000
171,DII_R_amp,0.700000,14.900000,6.830588,2.802508,85,14.200000
172,DII_S_amp,-5.600000,0.000000,-1.141176,1.381105,85,5.600000
173,DII_Rp_amp,0.000000,1.000000,0.036471,0.172411,85,1.000000
174,DII_Sp_amp,0.000000,0.000000,0.000000,0.000000,85,0.000000
175,DII_P_amp,-0.200000,1.800000,1.012941,0.405847,85,2.000000
176,DII_T_amp,-1.200000,5.400000,1.667059,0.992758,85,6.600000
177,DII_QRSA,-9.500000,50.900000,17.055294,12.744144,85,60.400000
178,DII_QRSTA,-3.900000,76.600000,29.834118,16.430224,85,80.500000
179,DIII_JJ_amp,-0.800000,2.000000,0.150588,0.390245,85,2.800000
180,DIII_Q_amp,-12.100000,0.000000,-0.852941,1.598778,85,12.100000
181,DIII_R_amp,0.000000,11.100000,2.894118,2.772671,85,11.100000
182,DIII_S_amp,-11.800000,0.000000,-1.708235,2.648324,85,11.800000
183,DIII_Rp_amp,0.000000,3.800000,0.143529,0.568089,85,3.800000
184,DIII_Sp_amp,-1.300000,0.000000,-0.023529,0.159349,85,1.300000
185,DIII_P_amp,-1.000000,1.400000,0.431765,0.510651,85,2.400000
186,DIII_T_amp,-1.600000,2.600000,0.325882,0.912108,85,4.200000
187,DIII_QRSA,-43.500000,36.700000,1.627059,15.528732,85,80.200000
188,DIII_QRSTA,-34.400000,48.600000,4.015294,18.379035,85,83.000000
189,AVR_JJ_amp,-1.200000,0.900000,0.011765,0.302140,85,2.100000
190,AVR_Q_amp,-11.000000,0.000000,-4.824706,2.999123,85,11.000000
191,AVR_R_amp,0.000000,3.900000,0.800000,0.798958,85,3.900000
192,AVR_S_amp,-10.600000,0.000000,-1.458824,2.940736,85,10.600000
193,AVR_Rp_amp,0.000000,2.300000,0.128235,0.393583,85,2.300000
194,AVR_Sp_amp,-0.400000,0.000000,-0.004706,0.043386,85,0.400000
195,AVR_P_amp,-1.600000,0.500000,-0.777647,0.353343,85,2.100000
196,AVR_T_amp,-3.900000,0.800000,-1.443529,0.860294,85,4.700000
197,AVR_QRSA,-39.600000,-1.100000,-15.364706,8.479439,85,38.500000
198,AVR_QRSTA,-65.700000,-6.800000,-26.118824,11.569701,85,58.900000
199,AVL_JJ_amp,-1.600000,2.600000,-0.098824,0.457346,85,4.200000
200,AVL_Q_amp,-3.800000,0.000000,-0.407059,0.789483,85,3.800000
201,AVL_R_amp,0.000000,12.400000,3.456471,2.654621,85,12.400000
202,AVL_S_amp,-8.800000,0.000000,-1.045882,1.591911,85,8.800000
203,AVL_Rp_amp,0.000000,1.000000,0.011765,0.108465,85,1.000000
204,AVL_Sp_amp,0.000000,0.000000,0.000000,0.000000,85,0.000000
205,AVL_P_amp,-0.700000,0.900000,0.124706,0.419156,85,1.600000
206,AVL_T_amp,-1.400000,2.100000,0.536471,0.747193,85,3.500000
207,AVL_QRSA,-25.300000,44.600000,6.217647,11.081110,85,69.900000
208,AVL_QRSTA,-17.000000,37.200000,10.260000,12.568367,85,54.200000
209,AVF_JJ_amp,-1.400000,1.400000,0.064706,0.409037,85,2.800000
210,AVF_Q_amp,-5.800000,0.000000,-0.314118,0.834687,85,5.800000
211,AVF_R_amp,0.000000,10.400000,4.252941,2.877192,85,10.400000
212,AVF_S_amp,-6.800000,0.000000,-1.112941,1.662241,85,6.800000
213,AVF_Rp_amp,0.000000,0.700000,0.018824,0.101763,85,0.700000
214,AVF_Sp_amp,0.000000,0.000000,0.000000,0.000000,85,0.000000
215,AVF_P_amp,-0.400000,1.600000,0.694118,0.413853,85,2.000000
216,AVF_T_amp,-0.700000,3.100000,0.950588,0.812935,85,3.800000
217,AVF_QRSA,-19.700000,42.700000,9.055294,12.390103,85,62.400000
218,AVF_QRSTA,-14.300000,51.900000,15.904706,14.990544,85,66.200000
219,V1_JJ_amp,-0.900000,1.900000,0.674118,0.503595,85,2.800000
220,V1_Q_amp,-13.600000,0.000000,-0.728235,2.355774,85,13.600000
221,V1_R_amp,0.000000,5.100000,1.528235,1.018591,85,5.100000
222,V1_S_amp,-16.800000,0.000000,-7.009412,3.715111,85,16.800000
223,V1_Rp_amp,0.000000,1.300000,0.041176,0.197782,85,1.300000
224,V1_Sp_amp,-0.700000,0.000000,-0.008235,0.075926,85,0.700000
225,V1_P_amp,-1.400000,0.600000,-0.382353,0.427667,85,2.000000
226,V1_T_amp,-4.100000,4.100000,0.498824,1.337063,85,8.200000
227,V1_QRSA,-49.500000,1.000000,-19.741176,9.916824,85,50.500000
228,V1_QRSTA,-93.400000,21.400000,-14.685882,17.040108,85,114.800000
229,V2_JJ_amp,-0.300000,3.300000,1.082353,0.778609,85,3.600000
230,V2_Q_amp,-8.400000,0.000000,-0.181176,1.080398,85,8.400000
231,V2_R_amp,0.000000,15.100000,4.175294,2.686337,85,15.100000
232,V2_S_amp,-29.300000,0.000000,-10.027059,4.709878,85,29.300000
233,V2_Rp_amp,0.000000,2.000000,0.055294,0.296610,85,2.000000
234,V2_Sp_amp,0.000000,0.000000,0.000000,0.000000,85,0.000000
235,V2_P_amp,-1.000000,1.100000,-0.129412,0.412837,85,2.100000
236,V2_T_amp,-0.900000,8.700000,3.512941,1.828074,85,9.600000
237,V2_QRSA,-48.800000,12.500000,-16.863529,13.879746,85,61.300000
238,V2_QRSTA,-54.100000,106.900000,20.244706,23.906218,85,161.000000
239,V3_JJ_amp,-1.100000,3.500000,0.980000,0.943247,85,4.600000
240,V3_Q_amp,-1.000000,0.000000,-0.031765,0.169180,85,1.000000
241,V3_R_amp,1.300000,28.400000,8.762353,4.912568,85,27.100000
242,V3_S_amp,-23.600000,-4.100000,-11.765882,4.908728,85,19.500000
243,V3_Rp_amp,0.000000,1.400000,0.016471,0.151851,85,1.400000
244,V3_Sp_amp,0.000000,0.000000,0.000000,0.000000,85,0.000000
245,V3_P_amp,-1.100000,1.100000,0.060000,0.507609,85,2.200000
246,V3_T_amp,0.300000,11.900000,5.087059,2.333850,85,11.600000
247,V3_QRSA,-51.300000,45.300000,-6.717647,19.785187,85,96.600000
248,V3_QRSTA,-31.200000,133.500000,46.220000,32.077647,85,164.700000
249,V4_JJ_amp,-1.100000,1.900000,0.138824,0.590821,85,3.000000
250,V4_Q_amp,-1.800000,0.000000,-0.124706,0.340135,85,1.800000
251,V4_R_amp,3.100000,30.800000,13.208235,5.053764,85,27.700000
252,V4_S_amp,-19.100000,0.000000,-8.103529,4.050498,85,19.100000
253,V4_Rp_amp,0.000000,0.500000,0.005882,0.054233,85,0.500000
254,V4_Sp_amp,0.000000,0.000000,0.000000,0.000000,85,0.000000
255,V4_P_amp,-0.900000,1.500000,0.569412,0.366133,85,2.400000
256,V4_T_amp,-0.800000,9.300000,3.464706,2.082049,85,10.100000
257,V4_QRSA,-27.500000,87.500000,12.538824,18.628410,85,115.000000
258,V4_QRSTA,-13.300000,182.300000,45.058824,32.743488,85,195.600000
259,V5_JJ_amp,-1.400000,1.000000,-0.154118,0.401649,85,2.400000
260,V5_Q_amp,-1.700000,0.000000,-0.222353,0.415582,85,1.700000
261,V5_R_amp,4.900000,27.100000,12.557647,4.025614,85,22.200000
262,V5_S_amp,-10.900000,0.000000,-4.091765,2.622395,85,10.900000
263,V5_Rp_amp,0.000000,0.400000,0.004706,0.043386,85,0.400000
264,V5_Sp_amp,0.000000,0.000000,0.000000,0.000000,85,0.000000
265,V5_P_amp,-0.500000,1.300000,0.542353,0.320482,85,1.800000
266,V5_T_amp,-1.300000,7.600000,2.294118,1.603816,85,8.900000
267,V5_QRSA,-11.400000,67.400000,19.700000,13.522327,85,78.800000
268,V5_QRSTA,-1.200000,116.900000,40.722353,23.797806,85,118.100000
269,V6_JJ_amp,-1.500000,0.600000,-0.189412,0.340176,85,2.100000
270,V6_Q_amp,-1.300000,0.000000,-0.278824,0.409150,85,1.300000
271,V6_R_amp,4.200000,18.800000,9.512941,2.998007,85,14.600000
272,V6_S_amp,-6.500000,0.000000,-1.437647,1.457164,85,6.500000
273,V6_Rp_amp,0.000000,0.500000,0.005882,0.054233,85,0.500000
274,V6_Sp_amp,0.000000,0.000000,0.000000,0.000000,85,0.000000
275,V6_P_amp,-0.400000,1.000000,0.500000,0.291548,85,1.400000
276,V6_T_amp,-1.300000,6.000000,1.605882,1.130882,85,7.300000
277,V6_QRSA,-5.900000,56.400000,20.716471,11.440049,85,62.300000
278,V6_QRSTA,0.100000,97.600000,35.110588,16.939472,85,97.500000
